genus,species,scientificName,acceptedNameUsage
Marginatocereus,Marginatocereus marginatus,Lophocereus marginatus (DC.) S.Arias & Terrazas,Lophocereus marginatus
Opuntia,Opuntia depressa,Opuntia depressa Rose,Opuntia depressa
Cochemiea,Cochemiea saboae,Mammillaria saboae Glass,Cochemiea saboae
Pachycereus,Pachycereus militaris,Pachycereus militaris (Audot) D.R.Hunt,Backebergia militaris
Mammillaria,Mammillaria discolor,Mammillaria discolor Haw.,Mammillaria discolor
Echinocactus,Echinocactus platyacanthus,Echinocactus platyacanthus Link & Otto,Echinocactus platyacanthus
Pachycereus,Pachycereus weberi,Pachycereus weberi (J.M.Coult.) Backeb.,Pachycereus weberi
Opuntia,Opuntia ficus-indica,Opuntia megacantha Salm-Dyck,Opuntia megacantha
Leuenbergeria,Leuenbergeria lychnidiflora,Pereskia lychnidiflora DC.,Pereskia lychnidiflora
Mammillaria,Mammillaria bombycina,Mammillaria bombycina Quehl,Mammillaria bombycina
Cochemiea,Cochemiea theresae,Mammillaria theresae Cutak,Cochemiea theresae
Coryphantha,Coryphantha elephantidens,Coryphantha bumamma (Ehrenb.) Britton & Rose,Coryphantha bumamma
Opuntia,Opuntia lasiacantha,Opuntia rzedowskii Scheinvar,Opuntia lasiacantha
Disocactus,Disocactus speciosus,Disocactus speciosus (Cav.) Barthlott,Disocactus speciosus
Opuntia,Opuntia engelmannii,Opuntia engelmannii Salm-Dyck ex Engelm.,Opuntia engelmannii
Stenocereus,Stenocereus quevedonis,Stenocereus quevedonis (J.G.Ortega) Buxb.,Stenocereus quevedonis
Opuntia,Opuntia robusta,Opuntia robusta H.L.Wendl.,Opuntia robusta
Opuntia,Opuntia pubescens,Opuntia pumila Rose,Opuntia pubescens
Pereskiopsis,Pereskiopsis diguetii,Pereskiopsis diguetii (F.A.C.Weber) Britton & Rose,Pereskiopsis diguetii
Astrophytum,Astrophytum capricorne,Astrophytum capricorne (A.Dietr.) Britton & Rose,Astrophytum capricorne
Pachycereus,Pachycereus pecten-aboriginum,Pachycereus pecten-aboriginum (Engelm. ex S.Watson) Britton & Rose,Pachycereus pecten-aboriginum
Opuntia,Opuntia hyptiacantha,Opuntia hyptiacantha F.A.C.Weber,Opuntia hyptiacantha
Echinocereus,Echinocereus scheeri,Echinocereus scheeri (Salm-Dyck) Scheer,Echinocereus scheeri
Stenocactus,Stenocactus coptonogonus,Stenocactus coptonogonus (Lem.) A.Berger,Stenocactus coptonogonus
Mammillaria,Mammillaria formosa,Mammillaria chionocephala J.A.Purpus,Mammillaria formosa subsp. chionocephala
Pachycereus,Pachycereus hollianus,Lemaireocereus hollianus (F.A.C.Weber ex J.M.Coult.) Britton & Rose,Lemaireocereus hollianus
Myrtillocactus,Myrtillocactus geometrizans,Myrtillocactus geometrizans (Mart. ex Pfeiff.) Console,Myrtillocactus geometrizans
Selenicereus,Selenicereus undatus,Hylocereus undatus (Haw.) Britton & Rose,Hylocereus undatus
Selenicereus,Selenicereus ocamponis,Hylocereus ocamponis (Salm-Dyck) Britton & Rose,Selenicereus ocamponis
Cephalocereus,Cephalocereus mezcalaensis,Neobuxbaumia mezcalaensis (Bravo) Backeb.,Cephalocereus mezcalaensis
Mammillaria,Mammillaria beneckei,Mammillaria beneckei C.Ehrenb.,Mammillaria beneckei
Mammillaria,Mammillaria grusonii,Mammillaria grusonii Ruenge,Mammillaria grusonii
Opuntia,Opuntia occidentalis,Opuntia × occidentalis Engelm. & J.M.Bigelow,
Stenocereus,Stenocereus beneckei,Stenocereus beneckei (C.Ehrenb.) A.Berger & Buxb.,Stenocereus beneckei
Aporocactus,Aporocactus flagelliformis,Disocactus flagelliformis (L.) Barthlott,Disocactus flagelliformis
Opuntia,Opuntia auberi,Nopalea auberi (Pfeiff.) Salm-Dyck,Opuntia auberi
Cochemiea,Cochemiea matehualensis,Neolloydia matehualensis Backeb.,Neolloydia matehualensis
Mammillaria,Mammillaria decipiens,Mammillaria decipiens Scheidw.,Mammillaria decipiens
Thelocactus,Thelocactus bicolor,Thelocactus heterochromus (F.A.C.Weber) Oosten,Thelocactus bicolor subsp. heterochromus
Cylindropuntia,Cylindropuntia leptocaulis,Cylindropuntia leptocaulis (DC.) F.M.Knuth,Cylindropuntia leptocaulis
Mammillaria,Mammillaria karwinskiana,Mammillaria karwinskiana Mart.,Mammillaria karwinskiana
Rhipsalis,Rhipsalis baccifera,Rhipsalis baccifera (J.S.Muell.) Stearn,Rhipsalis baccifera
Acanthocereus,Acanthocereus cuixmalensis,Peniocereus cuixmalensis Sánchez-Mej.,Acanthocereus cuixmalensis
Grusonia,Grusonia bradtiana,Grusonia bradtiana (J.M.Coult.) Britton & Rose,Grusonia bradtiana
Ferocactus,Ferocactus wislizeni,Ferocactus wislizeni (Engelm.) Britton & Rose,Ferocactus wislizeni
Carnegiea,Carnegiea gigantea,Carnegiea gigantea (Engelm.) Britton & Rose,Carnegiea gigantea
Stenocereus,Stenocereus thurberi,Stenocereus thurberi (Engelm.) Buxb.,Stenocereus thurberi
Opuntia,Opuntia tomentosa,Opuntia tomentosa Salm-Dyck,Opuntia tomentosa
Mammillaria,Mammillaria zephyranthoides,Mammillaria zephyranthoides Scheidw.,Mammillaria zephyranthoides
Cephalocereus,Cephalocereus polylophus,Neobuxbaumia polylopha (DC.) Backeb.,Cephalocereus polylophus
Cephalocereus,Cephalocereus macrocephalus,Neobuxbaumia macrocephala (F.A.C.Weber ex K.Schum.) E.Y.Dawson,Cephalocereus macrocephalus
Opuntia,Opuntia puberula,Opuntia puberula Hort.Vindob. ex Pfeiff.,Opuntia puberula
Opuntia,Opuntia microdasys,Opuntia microdasys (Lehm.) Pfeiff.,Opuntia microdasys
Opuntia,Opuntia macrocentra,Opuntia macrocentra Engelm.,Opuntia macrocentra
Grusonia,Grusonia emoryi,Opuntia emoryi Engelm.,Corynopuntia emoryi
Opuntia,Opuntia phaeacantha,Opuntia phaeacantha Engelm.,Opuntia phaeacantha
Grusonia,Grusonia marenae,Grusonia marenae (S.H.Parsons) E.F.Anderson,Grusonia marenae
Mammillaria,Mammillaria albilanata,Mammillaria albilanata Backeb.,Mammillaria albilanata
Disocactus,Disocactus anguliger,Epiphyllum anguliger (Lem.) G.Don,Disocactus anguliger
Disocactus,Disocactus nelsonii,Disocactus nelsonii (Britton & Rose) Linding.,Disocactus nelsonii
Disocactus,Disocactus ackermannii,Disocactus ackermannii (Haw.) Ralf Bauer,Disocactus ackermannii
Opuntia,Opuntia streptacantha,Opuntia streptacantha Lem.,Opuntia streptacantha
Opuntia,Opuntia velutina,Opuntia velutina F.A.C.Weber,Opuntia velutina
Echinocereus,Echinocereus rigidissimus,Echinocereus rigidissimus (Engelm.) Haage,Echinocereus rigidissimus
Echinocereus,Echinocereus enneacanthus,Echinocereus enneacanthus Engelm.,Echinocereus enneacanthus
Acanthocereus,Acanthocereus tetragonus,Acanthocereus tetragonus (L.) Hummelinck,Acanthocereus tetragonus
Acanthocereus,Acanthocereus tepalcatepecanus,Peniocereus tepalcatepecanus Sánchez-Mej.,Acanthocereus tepalcatepecanus
Mammillaria,Mammillaria mystax,Mammillaria mystax Mart.,Mammillaria mystax
Mammillaria,Mammillaria sartorii,Mammillaria sartorii J.A.Purpus,Mammillaria sartorii
Opuntia,Opuntia matudae,Opuntia matudae Scheinvar,Opuntia hyptiacantha
Selenicereus,Selenicereus purpusii,Hylocereus purpusii (Weing.) Britton & Rose,Selenicereus purpusii
Opuntia,Opuntia atrispina,Opuntia atrispina Griffiths,Opuntia atrispina
Aporocactus,Aporocactus martianus,Disocactus martianus (Zucc. ex Pfeiff.) Barthlott,Disocactus martianus
Cephalocereus,Cephalocereus scoparius,Neobuxbaumia scoparia (Poselg.) Backeb.,Cephalocereus scoparius
Epiphyllum,Epiphyllum phyllanthus,Epiphyllum phyllanthus (L.) Haw.,Epiphyllum phyllanthus
Opuntia,Opuntia joconostle,Opuntia joconostle F.A.C.Weber,Opuntia joconostle
Opuntia,Opuntia deamii,Opuntia deamii Rose,Opuntia deamii
Opuntia,Opuntia elatior,Opuntia eichlamii Rose,Opuntia eichlamii
Myrtillocactus,Myrtillocactus chiotilla,Escontria chiotilla (F.A.C.Weber ex K.Schum.) Rose,Escontria chiotilla
Bisnaga,Bisnaga histrix,Ferocactus histrix (DC.) G.E.Linds.,Ferocactus histrix
Pilosocereus,Pilosocereus collinsii,Pilosocereus collinsii (Britton & Rose) Byles & G.D.Rowley,Pilosocereus collinsii
Opuntia,Opuntia dejecta,Opuntia dejecta Salm-Dyck,Opuntia dejecta
Opuntia,Opuntia hitchcockii,Opuntia hitchcockii J.G.Ortega,Opuntia hitchcockii
Opuntia,Opuntia stenopetala,Opuntia stenopetala Engelm.,
Coryphantha,Coryphantha macromeris,Coryphantha macromeris (Engelm.) Lem.,Coryphantha macromeris
Opuntia,Opuntia chlorotica,Opuntia chlorotica Engelm. & J.M.Bigelow,Opuntia chlorotica
Opuntia,Opuntia aciculata,Opuntia aciculata Griffiths,Opuntia aciculata
Pseudorhipsalis,Pseudorhipsalis ramulosa,Pseudorhipsalis ramulosa (Salm-Dyck) Barthlott,Pseudorhipsalis ramulosa
Opuntia,Opuntia andersonii,"Opuntia × andersonii H.M.Hern., Gómez-Hin. & Bárcenas",
Opuntia,Opuntia spinulifera,Opuntia oligacantha Pfeiff.,Opuntia spinulifera
Opuntia,Opuntia leucotricha,Opuntia durangensis Britton & Rose,Opuntia leucotricha
Pilosocereus,Pilosocereus leucocephalus,Pilosocereus leucocephalus (Poselg.) Byles & G.D.Rowley,Pilosocereus leucocephalus
Stenocereus,Stenocereus pruinosus,Stenocereus pruinosus (Otto ex Pfeiff.) Buxb.,Stenocereus pruinosus
Opuntia,Opuntia tehuantepecana,Opuntia nejapensis Bravo,Opuntia nejapensis
Pilosocereus,Pilosocereus purpusii,Pilocereus purpusii (Britton & Rose) F.M.Knuth,Pilosocereus purpusii
Mammillaria,Mammillaria haageana,Mammillaria haageana Pfeiff.,Mammillaria haageana
Pelecyphora,Pelecyphora dasyacantha,Escobaria dasyacantha (Engelm.) Britton & Rose,Escobaria dasyacantha
Opuntia,Opuntia excelsa,Opuntia excelsa Sánchez-Mej.,Opuntia excelsa
Disocactus,Disocactus crenatus,Epiphyllum crenatum (Lindl.) G.Don,Epiphyllum crenatum
Bisnaga,Bisnaga hamatacantha,Ferocactus hamatacanthus (Muehlenpf.) Britton & Rose,Ferocactus hamatacanthus
Cephalocereus,Cephalocereus euphorbioides,Neobuxbaumia euphorbioides (Haw.) Buxb.,Cephalocereus euphorbioides
Echinocereus,Echinocereus sciurus,Echinocereus sciurus (Brandegee) Dams,Echinocereus sciurus
Mammillaria,Mammillaria voburnensis,Mammillaria voburnensis Scheer,Mammillaria voburnensis
Turbinicarpus,Turbinicarpus saueri,Turbinicarpus knuthianus (Boed.) V.John & Ríha,Turbinicarpus knuthianus
Cochemiea,Cochemiea dioica,Mammillaria dioica K.Brandegee,Mammillaria dioica
Melocactus,Melocactus curvispinus,Melocactus curvispinus Hort.Berol. ex Pfeiff.,Melocactus curvispinus
Cylindropuntia,Cylindropuntia tunicata,Opuntia tunicata (Lehm.) Link & Otto,Cylindropuntia tunicata
Stenocereus,Stenocereus griseus,Stenocereus griseus (Haw.) Buxb.,Stenocereus griseus
Opuntia,Opuntia decumbens,Opuntia decumbens Salm-Dyck,Opuntia decumbens
Mammillaria,Mammillaria lasiacantha,Mammillaria lasiacantha Engelm.,Mammillaria lasiacantha
Cochemiea,Cochemiea mazatlanensis,Mammillaria mazatlanensis K.Schum. ex Gürke,Mammillaria mazatlanensis
Opuntia,Opuntia oricola,Opuntia oricola Philbrick,Opuntia oricola
Cylindropuntia,Cylindropuntia wolfii,Cylindropuntia wolfii (L.D.Benson) M.A.Baker,Cylindropuntia wolfii
Opuntia,Opuntia cochenillifera,Nopalea cochenillifera (L.) Salm-Dyck,Opuntia cochenillifera
Grusonia,Grusonia grahamii,Grusonia grahamii (Engelm.) H.Rob.,Corynopuntia grahamii
Opuntia,Opuntia littoralis,Opuntia littoralis (Engelm.) Cockerell,Opuntia littoralis
Cylindropuntia,Cylindropuntia imbricata,Opuntia imbricata (Haw.) DC.,Cylindropuntia imbricata subsp. imbricata
Mammillaria,Mammillaria hahniana,Mammillaria hahniana Werderm.,Mammillaria hahniana
Astrophytum,Astrophytum myriostigma,Astrophytum myriostigma Lem.,Astrophytum myriostigma
Ferocactus,Ferocactus uncinatus,Sclerocactus uncinatus (Galeotti) N.P.Taylor,Ferocactus uncinatus
Disocactus,Disocactus macranthus,Disocactus macranthus (Alexander) Kimnach & Hutchison,Disocactus macranthus
Peniocereus,Peniocereus serpentinus,Nyctocereus serpentinus (Lag. & Rodr.) Britton & Rose,Nyctocereus serpentinus
Opuntia,Opuntia wilcoxii,Opuntia wilcoxii Britton & Rose,Opuntia wilcoxii
