tax_id,parent_id,name
2596930,186270,Echinomastus
213182,186275,Polaskia
336100,186275,Peniocereus
336104,186273,Weberocereus
393614,186267,Grusonia
106973,186266,Maihuenia
106975,186267,Opuntia
106983,186267,Pterocactus
1548883,186275,Lemaireocereus
2745101,186273,Kimnachia
1041198,186267,Consolea
983927,186273,Epiphyllum
983930,186272,Praecereus
107610,186267,Quiabentia
1959132,186273,Deamia
3433869,186277,Chamaecereus
83431,186273,Selenicereus
1001069,186267,Miqueliopuntia
1001071,186277,Pygmaeocereus
1001075,186275,Mitrocereus
1001073,186277,Weberbauerocereus
1001122,186275,Pterocereus
3594,186276,Schlumbergera
223052,186275,Cephalocereus
223055,186275,Myrtillocactus
722775,186276,Rhipsalidopsis
1927077,186275,Stephanocereus
911490,911982,Lymanbensonia
2918709,186275,Morangaya
2714021,186270,Kadenicarpus
944767,186275,Jasminocereus
944768,186275,Strophocactus
1354792,186277,Brachycereus
1354806,186272,Brasilicereus
1535288,1982682,Leuenbergeria
183648,186277,Echinopsis
2944425,186277,Arequipa
2944429,186277,Morawetzia
2944495,186277,Soehrensia
3596,186268,Pereskia
1789610,186273,Pseudorhipsalis
2609091,186270,Rapicactus
2912241,186275,Marshallocereus
3043401,186272,Estevesia
176261,186272,Arrojadoa
176267,186277,Mila
2920869,186275,Xiquexique
2478531,186275,Nyctocereus
2601724,186267,Micropuntia
1913612,186274,Rimacactus
432461,186272,Cipocereus
432463,186272,Melocactus
1217519,186277,Lasiocereus
1217521,186277,Facheiroa
1217523,186277,Cephalocleistocactus
308213,186267,Brasiliopuntia
1217525,186277,Leocereus
308217,186267,Tephrocactus
701510,186267,Cylindropuntia
2806864,186268,Rhodocactus
169219,186267,Tacinga
1873325,186277,Aylostera
1873326,186277,Reicheocactus
1931368,186275,Lophocereus
2767000,186270,Homalocephala
153833,186277,Acanthocalycium
153835,186275,Acanthocereus
153837,186269,Armatocereus
153839,186275,Austrocactus
153841,186269,Browningia
153843,186275,Castellanosia
153845,186272,Cereus
153847,186272,Coleocephalocereus
153851,186273,Disocactus
153853,186275,Echinocereus
153855,186274,Eriosyce
153860,186275,Escontria
153862,186275,Eulychnia
153864,186277,Gymnocalycium
153866,186277,Haageocereus
153868,186277,Harrisia
153870,186275,Leptocereus
153872,186277,Lobivia
153876,186272,Micranthocereus
153878,186275,Neoraimondia
153880,186274,Neowerdermannia
153882,186277,Oreocereus
153889,186275,Pfeiffera
153891,186277,Rauhocereus
153893,186277,Samaipaticereus
153898,186277,Trichocereus
153900,186272,Uebelmannia
153896,186269,Stetsonia
432447,186277,Cleistocactus
432449,186277,Denmoza
432451,186277,Discocactus
432453,186277,Espostoa
432455,186277,Espostoopsis
432457,186277,Oroya
432459,186277,Rebutia
432465,186277,Sulcorebutia
432467,186277,Weingartia
432469,186272,Yavia
146106,186267,Pereskiopsis
1112781,186267,Punotia
572154,186267,Maihueniopsis
154405,186267,Austrocylindropuntia
154410,295398,Blossfeldia
154412,186274,Frailea
154416,186274,Copiapoa
154425,186277,Matucana
154427,186276,Hatiora
154429,186276,Rhipsalis
154431,186276,Lepismium
154434,186275,Pachycereus
2800461,186277,Borzicactus
2800466,186277,Cremnocereus
130088,186270,Acharagma
130093,186270,Ariocarpus
130096,186270,Astrophytum
130099,186270,Aztekium
130102,186275,Bergerocactus
130104,911982,Calymmanthium
130106,186275,Corryocactus
130108,186270,Coryphantha
130110,186270,Echinocactus
867395,186270,Cumarinia
130116,186270,Epithelantha
867397,186267,Cumulopuntia
130118,186270,Escobaria
130120,186270,Ferocactus
130128,186270,Geohintonia
130130,186270,Glandulicactus
130134,186270,Leuchtenbergia
130136,186270,Lophophora
130139,186270,Mammillaria
130155,186270,Neolloydia
130157,186270,Obregonia
130159,186270,Ortegocactus
130161,186274,Parodia
130163,186270,Pediocactus
130165,186270,Pelecyphora
130167,186270,Sclerocactus
1195140,186273,x Aporberocereus
130175,186270,Strombocactus
2800775,186277,Leucostele
2800776,186277,Loxanthocereus
2800777,186277,Thrixanthocereus
867468,186275,Pilosocereus
867475,186267,Tunilla
1170777,186277,Arthrocereus
1916262,186267,Airampoa
1367495,186267,Salmonopuntia
130171,186270,Stenocactus
1171032,186277,Yungasocereus
130177,186270,Thelocactus
130181,186270,Turbinicarpus
171968,186275,Carnegiea
171972,186275,Stenocereus
171975,186275,Neobuxbaumia
