tax_id,parent_id,name,rank,symbol,scientific_name_with_author,author
278528,130139,Mammillaria geminispina,species,,,
1826817,154429,Rhipsalis rhombea,species,,,
278529,130139,Mammillaria goodridgei,species,,,
278530,130139,Mammillaria grahamii,species,,,
278531,130139,Mammillaria grusonii,species,,,
278532,130139,Mammillaria guelzowiana,species,,,
278533,130139,Mammillaria hernandezii,species,,,
223068,154434,Pachycereus tepamo,species,,,
278534,130139,Mammillaria herrerae,species,,,
278535,130139,Mammillaria huitzilopochtli,species,,,
278536,130139,Mammillaria humboldtii,species,,,
278537,130139,Mammillaria hutchisoniana,species,,,
278538,130139,Mammillaria insularis,species,,,
278539,130139,Mammillaria klissingiana,species,,,
278540,130139,Mammillaria lasiacantha,species,,,
278541,130139,Mammillaria leucantha,species,,,
278542,130139,Mammillaria limonensis,species,,,
223070,171972,Stenocereus chrysocarpus,species,,,
278543,130139,Mammillaria lindsayi,species,,,
278544,130139,Mammillaria luethyi,species,,,
278545,130139,Mammillaria magnimamma,species,,,
278546,130139,Mammillaria mainiae,species,,,
223071,171972,Stenocereus eichlamii,species,,,
278547,130139,Mammillaria mammillaris,species,,,
278548,130139,Mammillaria marcosii,species,,,
278549,130139,Mammillaria mathildae,species,,,
278551,130139,Mammillaria mercadensis,species,,,
278552,130139,Mammillaria microhelia,species,,,
223072,171972,Stenocereus fricii,species,,,
278553,130139,Mammillaria moelleriana,species,,,
278554,130139,Mammillaria multidigitata,species,,,
278555,130139,Mammillaria mystax,species,,,
278556,130139,Mammillaria nana,species,,,
223073,171972,Stenocereus martinezii,species,,,
278557,130139,Mammillaria nazasensis,species,,,
278558,130139,Mammillaria neopalmeri,species,,,
278559,130139,Mammillaria oteroi,species,,,
278560,130139,Mammillaria parkinsonii,species,,,
223074,171972,Stenocereus stellatus,species,,,
278561,130139,Mammillaria patonii,species,,,
278562,130139,Mammillaria peninsularis,species,,,
1622057,153845,Cereus braunii,species,,,
1622058,153845,Cereus hankeanus,species,,,
1146923,867468,Pilosocereus aureispinus,species,,,
1146924,867468,Pilosocereus aurisetus,species,,,
1146925,867468,Pilosocereus vilaboensis,species,,,
1622062,432461,Cipocereus bradei,species,,,
1622063,432461,Cipocereus crassisepalus,species,,,
1622060,153845,Cereus kroenleinii,species,,,
1622061,153845,Cereus mortensenii,species,,,
278569,130139,Mammillaria polyedra,species,,,
278570,130139,Mammillaria polythele,species,,,
278571,130139,Mammillaria pondii,species,,,
278573,130139,Mammillaria pottsii,species,,,
278574,130139,Mammillaria prolifera,species,,,
278575,130139,Mammillaria rekoi,species,,,
278576,130139,Mammillaria rhodantha,species,,,
278577,130139,Mammillaria schumannii,species,,,
278578,130139,Mammillaria schwarzii,species,,,
278579,130139,Mammillaria sinistrohamata,species,,,
278580,130139,Mammillaria sphacelata,species,,,
278581,130139,Mammillaria spinosissima,species,,,
278582,130139,Mammillaria stella-de-tacubaya,species,,,
278583,130139,Mammillaria supertexta,species,,,
278584,130139,Mammillaria tezontle,species,,,
278585,130139,Mammillaria thornberi,species,,,
2596931,2596930,Echinomastus erectocentrus,species,,,
2596934,2596930,Echinomastus johnsonii,species,,,
278590,130139,Mammillaria weingartiana,species,,,
278591,130139,Mammillaria wildii,species,,,
278592,130139,Mammillaria wrightii,species,,,
278593,130139,Mammillaria zacatecasensis,species,,,
278594,130139,Mammillaria zeilmanniana,species,,,
278595,130139,Mammillaria zephyranthoides,species,,,
1417314,130118,Escobaria missouriensis,species,,,
1081481,154429,Rhipsalis ormindoi,species,,,
1081482,154429,Rhipsalis triangularis,species,,,
213183,213182,Polaskia chichipe,species,,,
696531,2688538,Harrisia sp. AC639,species,,,
2973912,2634194,Selenicereus sp. 97C,species,,,
2973913,2634194,Selenicereus sp. 98C,species,,,
2973914,2634194,Selenicereus sp. 99C,species,,,
2973915,2634194,Selenicereus sp. H22,species,,,
2973916,2634194,Selenicereus sp. 2JL,species,,,
2973917,2634194,Selenicereus sp. 7JL,species,,,
2973918,2634194,Selenicereus sp. 20JL,species,,,
2973919,2634194,Selenicereus sp. CH11,species,,,
2973920,2634194,Selenicereus sp. CH12,species,,,
2973921,2634194,Selenicereus sp. CH14,species,,,
2973922,2634194,Selenicereus sp. YU1,species,,,
336101,336100,Peniocereus castellae,species,,,
2973923,176265,Selenicereus undatus subsp. luteocarpus,subspecies,,,
336103,944768,Strophocactus brasiliensis,species,,,
336105,336104,Weberocereus glaber,species,,,
336106,336100,Peniocereus chiapensis,species,,,
336108,153835,Acanthocereus horridus,species,,,
336109,153835,Acanthocereus occidentalis,species,,,
336110,153835,Acanthocereus tetragonus,species,,,
336111,153837,Armatocereus laetus,species,,,
336112,153837,Armatocereus matucanensis,species,,,
336113,223052,Cephalocereus apicicephalium,species,,,
336114,223052,Cephalocereus nizandensis,species,,,
336116,153853,Echinocereus enneacanthus,species,,,
336117,153853,Echinocereus leucanthus,species,,,
336118,153853,Echinocereus parkeri,species,,,
336119,336118,Echinocereus parkeri subsp. parkeri,subspecies,,,
336120,153853,Echinocereus pectinatus,species,,,
336121,153853,Echinocereus poselgeri,species,,,
336122,153853,Echinocereus schmollii,species,,,
336123,153853,Echinocereus triglochidiatus,species,,,
336124,336123,Echinocereus triglochidiatus subsp. triglochidiatus,subspecies,,,
336125,153868,Harrisia earlei,species,,,
336126,83431,Selenicereus trigonus,species,,,
336127,223055,Myrtillocactus geometrizans,species,,,
762112,153864,Gymnocalycium amerhauseri,species,,,
762113,153864,Gymnocalycium baldianum,species,,,
762116,153864,Gymnocalycium bayrianum,species,,,
762117,153864,Gymnocalycium bodenbenderianum,species,,,
762118,153864,Gymnocalycium capillense,species,,,
762119,153864,Gymnocalycium mucidum,species,,,
762120,153864,Gymnocalycium castellanosii,species,,,
762122,762120,Gymnocalycium castellanosii subsp. bozsingianum,subspecies,,,
762123,762120,Gymnocalycium castellanosii subsp. castellanosii,subspecies,,,
762124,153864,Gymnocalycium catamarcense,species,,,
762125,762124,Gymnocalycium catamarcense subsp. acinacispinum,subspecies,,,
762126,153864,Gymnocalycium chacoense,species,,,
762127,153864,Gymnocalycium chubutense,species,,,
762128,432491,Gymnocalycium anisitsii subsp. damsii,subspecies,,,
336143,2478531,Nyctocereus serpentinus,species,,,
336137,336100,Peniocereus macdougallii,species,,,
