tax_id,accepted_name,synonym,symbol,synonym_symbol,name
278529,Mammillaria goodridgei,"Mammillaria goodridgei Scheer, 1850",,,
278537,Mammillaria hutchisoniana,Neomammillaria hutchisoniana,,,
278541,Mammillaria leucantha,Mammillaria crinita subsp. leucantha,,,
278542,Mammillaria limonensis,Mammillaria fittkaui subsp. limonensis,,,
223071,Stenocereus eichlamii,Lemaireocereus eichlamii,,,
278547,Mammillaria mammillaris,Cactus mammillaris,,,
278557,Mammillaria nazasensis,Mammillaria pennispinosa var. nazasensis,,,
223074,Stenocereus stellatus,Cereus stellatus,,,
278561,Mammillaria patonii,Neomammillaria patonii,,,
1146923,Pilosocereus aureispinus,Coleocephalocereus aureispinus,,,
1146924,Pilosocereus aurisetus,Pilocereus aurisetus,,,
1146925,Pilosocereus vilaboensis,Pseudopilocereus vilaboensis,,,
1622062,Cipocereus bradei,Pilocereus bradei,,,
1622063,Cipocereus crassisepalus,Cereus crassisepalus,,,
1622060,Cereus kroenleinii,Cereus phatnospermus subsp. kroenleinii,,,
1622061,Cereus mortensenii,Pilocereus mortensenii,,,
278571,Mammillaria pondii,Cochemiea pondii,,,
278574,Mammillaria prolifera,Cactus prolifer,,,
278575,Mammillaria rekoi,Neomammillaria rekoi,,,
2596931,Echinomastus erectocentrus,Echinocactus erectocentrus,,,
2596932,Echinomastus erectocentrus var. acunensis,Echinomastus acunensis,,,
2596934,Echinomastus johnsonii,Echinocactus johnsonii,,,
278591,Mammillaria wildii,Mammillaria crinita subsp. wildii,,,
1417314,Escobaria missouriensis,Coryphantha missouriensis,,,
1417314,Escobaria missouriensis,Mammillaria missouriensis,,,
213183,Polaskia chichipe,Cereus chichipe,,,
3064010,Opuntia engelmannii var. cuija,Opuntia cuija,,,
1982682,Leuenbergerioideae,Leuenbergioideae,,,
2973923,Selenicereus undatus subsp. luteocarpus,Hylocereus undatus subsp. luteocarpus,,,
336103,Strophocactus brasiliensis,Acanthocereus brasiliensis,,,
336103,Strophocactus brasiliensis,Pseudoacanthocereus brasiliensis,,,
336105,Weberocereus glaber,Cereus glaber,,,
336106,Peniocereus chiapensis,Acanthocereus chiapensis,,,
336106,Peniocereus chiapensis,"Acanthocereus griseus Backeb., 1966",,,
336106,Peniocereus chiapensis,Acanthocereus griseus,,,
336110,Acanthocereus tetragonus,Cactus tetragonus,,,
336110,Acanthocereus tetragonus,Cereus tetragonus,,,
336111,Armatocereus laetus,Cactus laetus,,,
336114,Cephalocereus nizandensis,Neodawsonia nizandensis,,,
336120,Echinocereus pectinatus,Echinocactus pectinatus,,,
336126,Selenicereus trigonus,Cereus trigonus,,,
336126,Selenicereus trigonus,Hylocereus trigonus,,,
336127,Myrtillocactus geometrizans,Cereus geometrizans,,,
762117,Gymnocalycium bodenbenderianum,Echinocactus bodenbenderianus,,,
762118,Gymnocalycium capillense,Echinocactus capillensis,,,
762118,Gymnocalycium capillense,Gymnocalycium capillaense,,,
762119,Gymnocalycium mucidum,Gymnocalycium capillense var. mucidum,,,
762121,Gymnocalycium castellanosii var. armillatum,Gymnocalycium castellanosii subsp. armillatum,,,
762121,Gymnocalycium castellanosii var. armillatum,Gymnocalycium castellanosii subsp. bozingianum var. armillatum,,,
762122,Gymnocalycium castellanosii subsp. bozsingianum,Gymnocalycium bozsingianum,,,
762127,Gymnocalycium chubutense,Echinocactus gibbosus var. chubutensis,,,
762128,Gymnocalycium anisitsii subsp. damsii,Echinocactus damsii,,,
762128,Gymnocalycium anisitsii subsp. damsii,Gymnocalycium damsii subsp. evae,,,
762128,Gymnocalycium anisitsii subsp. damsii,Gymnocalycium damsii subsp. evae var. evae,,,
762128,Gymnocalycium anisitsii subsp. damsii,Gymnocalycium damsii subsp. evae var. rotundulum,,,
762128,Gymnocalycium anisitsii subsp. damsii,Gymnocalycium damsii subsp. torulosum,,,
762128,Gymnocalycium anisitsii subsp. damsii,Gymnocalycium damsii,,,
