cactus_id,legacy_display_name,accepted_name,accepted_author,accepted_genus,species,subfamily,tribe,names_count,all_names,all_names_with_status,photo_main_url,photo_flower_url,photo_spines_url,morphology_stem,morphology_spines,morphology_flower,morphology_fruit,notes_ru
wfo-0000135353,Bridgesia echinopsoides,Bridgesia echinopsoides,Hook.,Bridgesia,echinopsoides,,,1,Bridgesia echinopsoides,Bridgesia echinopsoides [Unchecked],,,,,,,,
wfo-0001288745,Krainzia crinita,Mammillaria crinita,DC.,Mammillaria,crinita,,,36,Cactus crinitus | Cactus schelhasii | Chilita boedekeriana | Chilita criniformis | Chilita crinita | Chilita erectohamata | Chilita pubispina | Chilita pygmaea | Chilita schelhasii | Chilita seideliana | Chilita trichacantha | Ebnerella boedekeriana | Ebnerella crinita | Ebnerella erectohamata | Ebnerella pubispina | Ebnerella pygmaea | Ebnerella schelhasii | Ebnerella seideliana | Ebnerella trichacantha | Krainzia crinita | Mammillaria boedekeriana | Mammillaria criniformis | Mammillaria crinita | Mammillaria erectohamata | Mammillaria moeller-valdeziana | Mammillaria pubispina | Mammillaria pygmaea | Mammillaria schelhasei | Mammillaria schelhasii | Mammillaria seideliana | Mammillaria trichacantha | Neomammillaria boedekeriana | Neomammillaria pygmaea | Neomammillaria schelhasei | Neomammillaria seideliana | Neomammillaria trichacantha,Cactus crinitus [Synonym] | Cactus schelhasii [Synonym] | Chilita boedekeriana [Synonym] | Chilita criniformis [Synonym] | Chilita crinita [Synonym] | Chilita erectohamata [Synonym] | Chilita pubispina [Synonym] | Chilita pygmaea [Synonym] | Chilita schelhasii [Synonym] | Chilita seideliana [Synonym] | Chilita trichacantha [Synonym] | Ebnerella boedekeriana [Synonym] | Ebnerella crinita [Synonym] | Ebnerella erectohamata [Synonym] | Ebnerella pubispina [Synonym] | Ebnerella pygmaea [Synonym] | Ebnerella schelhasii [Synonym] | Ebnerella seideliana [Synonym] | Ebnerella trichacantha [Synonym] | Krainzia crinita [Synonym] | Mammillaria boedekeriana [Synonym] | Mammillaria criniformis [Synonym] | Mammillaria crinita [Accepted] | Mammillaria erectohamata [Synonym] | Mammillaria moeller-valdeziana [Synonym] | Mammillaria pubispina [Synonym] | Mammillaria pygmaea [Synonym] | Mammillaria schelhasei [Synonym] | Mammillaria schelhasii [Synonym] | Mammillaria seideliana [Synonym] | Mammillaria trichacantha [Synonym] | Neomammillaria boedekeriana [Synonym] | Neomammillaria pygmaea [Synonym] | Neomammillaria schelhasei [Synonym] | Neomammillaria seideliana [Synonym] | Neomammillaria trichacantha [Synonym],,,,,,,,
wfo-0001256403,Krainzia schwarzii,Mammillaria schwarzii,Shurly,Mammillaria,schwarzii,,,2,Krainzia schwarzii | Mammillaria schwarzii,Krainzia schwarzii [Synonym] | Mammillaria schwarzii [Accepted],,,,,,,,
wfo-0001288758,Krainzia densispina,Mammillaria densispina,(J.M.Coult.) Orcutt,Mammillaria,densispina,,,8,Cactus densispinus | Krainzia densispina | Leptocladia densispina | Mammillaria buxbaumeriana | Mammillaria densispina | Mammillaria psendofuscata | Mammillaria pseudofuscata | Neomammillaria densispina,Cactus densispinus [Synonym] | Krainzia densispina [Synonym] | Leptocladia densispina [Synonym] | Mammillaria buxbaumeriana [Synonym] | Mammillaria densispina [Accepted] | Mammillaria psendofuscata [Synonym] | Mammillaria pseudofuscata [Synonym] | Neomammillaria densispina [Synonym],,,,,,,,
wfo-0001288776,Krainzia elongata,Mammillaria elongata,DC.,Mammillaria,elongata,,,31,Cactus anguineus | Cactus densus | Cactus elongatus | Cactus intertextus | Cactus minimus | Cactus pulvilliger | Cactus rufocroceus | Cactus stella-aurata | Cactus subcroceus | Cactus subechinatus | Cactus tenuis | Chilita elongata | Echinocactus densus | Krainzia elongata | Leptocladia elongata | Leptocladodia elongata | Mammillaria anguinea | Mammillaria anguineea | Mammillaria caespitosa | Mammillaria densa | Mammillaria echinata | Mammillaria elongata | Mammillaria intertexta | Mammillaria minima | Mammillaria rufocrocea | Mammillaria stella-aurata | Mammillaria subcrocea | Mammillaria subechinata | Mammillaria tenuis | Neomammillaria elongata | Neomammillaria subcrocea,Cactus anguineus [Synonym] | Cactus densus [Synonym] | Cactus elongatus [Synonym] | Cactus intertextus [Synonym] | Cactus minimus [Synonym] | Cactus pulvilliger [Synonym] | Cactus rufocroceus [Synonym] | Cactus stella-aurata [Synonym] | Cactus subcroceus [Synonym] | Cactus subechinatus [Synonym] | Cactus tenuis [Synonym] | Chilita elongata [Synonym] | Echinocactus densus [Synonym] | Krainzia elongata [Synonym] | Leptocladia elongata [Synonym] | Leptocladodia elongata [Synonym] | Mammillaria anguinea [Synonym] | Mammillaria anguineea [Synonym] | Mammillaria caespitosa [Synonym] | Mammillaria densa [Synonym] | Mammillaria echinata [Synonym] | Mammillaria elongata [Accepted] | Mammillaria intertexta [Synonym] | Mammillaria minima [Synonym] | Mammillaria rufocrocea [Synonym] | Mammillaria stella-aurata [Synonym] | Mammillaria subcrocea [Synonym] | Mammillaria subechinata [Synonym] | Mammillaria tenuis [Synonym] | Neomammillaria elongata [Synonym] | Neomammillaria subcrocea [Synonym],,,,,,,,
wfo-0001255919,Krainzia erythrosperma,Mammillaria erythrosperma,Boed.,Mammillaria,erythrosperma,,,14,Cactus scheidweilerianus | Chilita erythrosperma | Chilita multiformis | Chilita scheidweileriana | Ebnerella erythrosperma | Ebnerella multiformis | Ebnerella scheidweileriana | Krainzia erythrosperma | Mammillaria erythrosperma | Mammillaria multiformis | Mammillaria scheidweileriana | Neomammillaria erythrosperma | Neomammillaria multiformis | Neomammillaria scheidweileriana,Cactus scheidweilerianus [Synonym] | Chilita erythrosperma [Synonym] | Chilita multiformis [Synonym] | Chilita scheidweileriana [Synonym] | Ebnerella erythrosperma [Synonym] | Ebnerella multiformis [Synonym] | Ebnerella scheidweileriana [Synonym] | Krainzia erythrosperma [Synonym] | Mammillaria erythrosperma [Accepted] | Mammillaria multiformis [Synonym] | Mammillaria scheidweileriana [Synonym] | Neomammillaria erythrosperma [Synonym] | Neomammillaria multiformis [Synonym] | Neomammillaria scheidweileriana [Synonym],,,,,,,,
wfo-0001256427,Cactus gracilis,Krainzia gracilis,(Pfeiff.) Doweld,Krainzia,gracilis,,,4,Cactus gracilis | Escobariopsis gracilis | Krainzia gracilis | Mammillaria gracilis,Cactus gracilis [Synonym] | Escobariopsis gracilis [Synonym] | Krainzia gracilis [Synonym] | Mammillaria gracilis [Synonym],,,,,,,,
wfo-0001430476,Krainzia guelzowiana,Cochemiea guelzowiana,(Werderm.) P.B.Breslin & Majure,Cochemiea,guelzowiana,,,5,Bartschella guelzowiana | Cochemiea guelzowiana | Krainzia guelzowiana | Mammillaria guelzowiana | Phellosperma guelzowiana,Bartschella guelzowiana [Synonym] | Cochemiea guelzowiana [Accepted] | Krainzia guelzowiana [Synonym] | Mammillaria guelzowiana [Synonym] | Phellosperma guelzowiana [Synonym],,,,,,,,
wfo-0001288319,Krainzia microhelia,Mammillaria microhelia,Werderm.,Mammillaria,microhelia,,,9,Krainzia microhelia | Leptocladia microhelia | Leptocladia microheliopsis | Leptocladodia microhelia | Leptocladodia microheliopsis | Mammillaria droegeana | Mammillaria microhelia | Mammillaria microheliopsis | Neomammillaria microhelia,Krainzia microhelia [Synonym] | Leptocladia microhelia [Synonym] | Leptocladia microheliopsis [Synonym] | Leptocladodia microhelia [Synonym] | Leptocladodia microheliopsis [Synonym] | Mammillaria droegeana [Synonym] | Mammillaria microhelia [Accepted] | Mammillaria microheliopsis [Synonym] | Neomammillaria microhelia [Synonym],,,,,,,,
wfo-0001288756,Krainzia decipiens,Mammillaria decipiens,Scheidw.,Mammillaria,decipiens,,,11,Cactus ancistrius | Cactus decipiens | Chilita decipiens | Krainzia decipiens | Mammillaria anancistria | Mammillaria ancistria | Mammillaria decipiens | Mammillaria deficiens | Mammillaria deficum | Neomammillaria decipiens | Pseudomammillaria decipiens,Cactus ancistrius [Synonym] | Cactus decipiens [Synonym] | Chilita decipiens [Synonym] | Krainzia decipiens [Synonym] | Mammillaria anancistria [Synonym] | Mammillaria ancistria [Synonym] | Mammillaria decipiens [Accepted] | Mammillaria deficiens [Synonym] | Mammillaria deficum [Synonym] | Neomammillaria decipiens [Synonym] | Pseudomammillaria decipiens [Synonym],,,,,,,,
