taxonID	scientificNameID	localID	scientificName	taxonRank	parentNameUsageID	scientificNameAuthorship	family	subfamily	tribe	subtribe	genus	subgenus	specificEpithet	infraspecificEpithet	verbatimTaxonRank	nomenclaturalStatus	namePublishedIn	taxonomicStatus	acceptedNameUsageID	originalNameUsageID	nameAccordingToID	taxonRemarks	created	modified	references	source	majorGroup	tplID
wfo-0001302010		9905237	"Schoenoxiphium ecklonii var. ecklonii"	variety			Cyperaceae		Cariceae		Schoenoxiphium	Psyllophorae	ecklonii	ecklonii	variety			Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905237 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9905237 >The Plant List v.1.0</a>"	2022-04-16	2025-06-17	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1710866	"The Cyperaceae TEN"	A	tro-9905237
wfo-0001302011		9905253	"Cyperus violifolia"	species		"Rodriguez & Alfonso"	Cyperaceae		Cypereae	Cyperinae	Cyperus		violifolia		species		"Rev Centr. Agricol. 15(1): 88 1989"	Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905253 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9905253 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682348	"The Cyperaceae TEN"	A	tro-9905253
wfo-0001302012		9905297	"Carex viridula var. viridula"	variety			Cyperaceae		Cariceae		Carex	Vignea	viridula	viridula	variety			Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905297 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9905297 >The Plant List v.1.0</a>"	2022-04-16	2023-05-29		"The Cyperaceae TEN"	A	tro-9905297
wfo-0001302013	urn:lsid:ipni.org:names:310980-1	9905332	"Mariscus phleoides"	species		Nees	Cyperaceae		Cypereae	Cyperinae	Mariscus		phleoides		species	Invalid	"Linnaea 9(3): 286 (1834)"	Unchecked				"Source in seed data: tro Updated namePublishedIn from Linnaea 9: 286 1834 to Linnaea 9(3): 286. 1834 , according to IPNI. Information provided by Alan E. on email Jul. 15 2020. More details could be found in <a href=http://www.theplantlist.org/tpl1.1/rec"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682477	"The Cyperaceae TEN"	A	tro-9905332
wfo-0001302014	urn:lsid:ipni.org:names:315251-1	9905359	"Tetraria compar"	species		"P.Beauv. ex T.Lestib."	Cyperaceae		Schoeneae	Tricostulariinae	Tetraria		compar		species		"Essai Cypér. 36. 1819 [29 Mar 1819]"	Unchecked				"Source in seed data: tro Updated Author from Lestib. to P.Beauv. ex T.Lestib., according to IPNI. Information provided by Alan E. on email Jul. 15 2020. More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905359 >The Pla"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682503	"The Cyperaceae TEN"	A	tro-9905359
wfo-0001302015		9905399	"Fimbristylis schulzii"	species	wfo-4000014776	Boeck.	Cyperaceae		Abildgaardieae		Fimbristylis		schulzii		species	Valid	"Linnaea 38: 391 1874"	Accepted				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905399 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9905399 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1678301	"The Cyperaceae TEN"	A	tro-9905399
wfo-0001302016	urn:lsid:ipni.org:names:314036-1	9905437	"Scirpus orbicephala"	species		Beetle	Cyperaceae		Scirpeae		Scirpus		orbicephala		species		"Madroño 7: 160. 1944"	Unchecked				"Source in seed data: tro Updated namepublishedIn from Madroño 7: 160 1944 to Madroño 7: 160. 1944 , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905437 >The "	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682399	"The Cyperaceae TEN"	A	tro-9905437
wfo-0001302017		9905458	"Trichophorum bracteatum"	species		"V.Krecz. ex Czernov"	Cyperaceae		Trichophoreae		Trichophorum		bracteatum		species			Synonym	wfo-0000591767			"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905458 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9905458 >The Plant List v.1.0</a>"	2022-04-16	2024-02-02		"The Cyperaceae TEN"	A	tro-9905458
wfo-0001302018		9905460	"Scirpus uniflorum"	species		T.V.Egorova	Cyperaceae		Scirpeae		Scirpus		uniflorum		species			Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905460 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9905460 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682404	"The Cyperaceae TEN"	A	tro-9905460
wfo-0001302019		9905464	"Blysmopsis exilis"	species		Ivanina	Cyperaceae		Dulichieae		Blysmopsis		exilis		species			Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905464 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9905464 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682319	"The Cyperaceae TEN"	A	tro-9905464
